Item,Color,Platform A,Platform B,Platform C
Jeans,Brown,1106,737,1443
Jackets,Brown,1784,1384,1882
Dresses,Green,661,1135,1432
Dresses,Brown,1493,1601,1924
Dresses,Coral,754,978,1649
Jeans,Pink,1206,1185,1572
Jeans,Pink,945,1332,1628
Shorts,Light Yellow,1180,791,1675
Jackets,White,577,1570,1206
Jeans,Light Yellow,649,1143,1361
Skirts,Green,831,765,710
Skirts,Dark Red,1123,523,1371
Shorts,Pink,1498,1569,725
Skirts,White,1214,1123,1546
Shorts,Light Blue,861,942,750
Skirts,Dark Blue,1270,1028,566
T-Shirts,Coral,620,1968,1294
T-Shirts,Mint,698,1049,1097
Jackets,Yellow,1544,545,1373
T-Shirts,Dark Red,689,1897,1676
Shirts,Mustard,1882,1773,817
T-Shirts,Light Blue,1401,1430,1270
Jackets,Dark Green,1573,878,1160
Shirts,Blue,1849,979,972
Dresses,Green,873,1850,1281
T-Shirts,Brown,1472,1085,924
Shorts,Green,1418,1807,1753
Jeans,Pink,1256,763,1234
Jackets,Black,707,1503,1223
Skirts,Dark Blue,1819,1923,903
Shirts,White,1464,1264,1834
Jackets,Dark Blue,1435,1043,1203
Dresses,Gray,1797,983,1039
T-Shirts,Mustard,932,727,1558
Skirts,White,851,1242,661
Jeans,Green,526,1869,1152
Dresses,Yellow,1553,674,718
Jackets,Dark Blue,883,1179,875
Jeans,Light Yellow,1242,1775,747
T-Shirts,Pink,821,1843,833
Shirts,Dark Blue,1902,1554,790
Dresses,Dark Red,1510,1553,1248
T-Shirts,Red,1777,661,622
T-Shirts,Black,548,1796,1828
Shirts,Light Yellow,1643,1757,1109
Shirts,Light Yellow,730,626,956
T-Shirts,Light Blue,1395,1386,1708
Shirts,Mustard,503,1008,1166
Dresses,Black,1349,575,1296
Shorts,Mint,1842,1230,1936
Shirts,Light Blue,965,528,829
Dresses,Blue,504,634,824
T-Shirts,Green,1478,1931,1785
Skirts,Brown,1605,1733,953
T-Shirts,Brown,1238,668,1287
Shorts,White,1637,1815,1880
Jackets,Dark Red,1159,1616,1718
T-Shirts,Green,1314,1063,1750
T-Shirts,Light Blue,838,1925,1767
Dresses,Mint,830,1190,873
Skirts,Pink,1137,1344,660
Shirts,Light Blue,1745,1521,967
Jeans,Dark Green,1138,1097,1706
Shorts,Green,924,738,793
Dresses,Coral,1622,1017,1956
T-Shirts,Dark Green,1890,1310,1528
Jackets,Dark Green,1711,1144,1446
T-Shirts,Light Blue,1737,1694,1254
Jeans,Blue,1529,1261,1595
Shirts,White,1592,1804,1652
Skirts,Dark Green,1136,1787,950
Jackets,Brown,1051,1435,1521
T-Shirts,Green,618,578,1783
Jeans,Black,1097,645,1118
Jackets,Light Yellow,1261,1335,1530
Jackets,Green,1176,1169,530
T-Shirts,Dark Red,1698,1578,1736
Shorts,Blue,695,801,1694
Jeans,Green,673,1072,806
Shirts,Coral,1052,1267,670
Jeans,Dark Red,1431,1352,537
T-Shirts,Gray,1117,1674,1818
Dresses,Purple,987,802,1496
Jackets,Yellow,1196,974,1475
Shirts,Gray,786,1452,742
Jeans,Purple,1950,1631,1782
Dresses,Brown,1349,928,557
Skirts,Purple,1871,802,928
Skirts,Yellow,823,1542,676
Shorts,Pink,1806,1526,1408
Jeans,Light Yellow,542,1582,643
Shirts,Black,1645,1716,639
T-Shirts,Coral,1671,1381,905
Skirts,Purple,1383,1795,1909
Dresses,Dark Green,841,734,1601
Shorts,Purple,600,1318,621
Dresses,Gray,1576,801,1689
Dresses,Orange,1906,766,877
Skirts,Dark Red,1902,1988,1409
Jeans,Blue,1765,736,1451
Jackets,Orange,1760,1246,804
Skirts,Dark Blue,1998,1130,1700
Shirts,Coral,1233,936,1945
Shirts,Coral,690,1486,918
Jeans,Pink,1845,804,1945
Dresses,Mint,1130,788,894
Skirts,Purple,1864,1599,1361
Jeans,Purple,1725,1056,1237
Shorts,Blue,1279,1395,1570
Jackets,Gray,1147,700,1553
T-Shirts,White,1155,1850,938
Shirts,Purple,1881,946,1234
T-Shirts,Yellow,649,791,538
T-Shirts,Dark Green,1805,1741,1204
Jackets,Mustard,701,1039,849
Skirts,Green,573,1394,1731
Jackets,Dark Blue,1775,522,1972
Jeans,Dark Blue,1429,638,986
T-Shirts,Dark Green,1984,1069,1923
T-Shirts,Mustard,1653,1675,1530
Dresses,White,620,607,1018
Dresses,Brown,1816,1325,1172
T-Shirts,Light Yellow,720,1810,794
Skirts,Coral,1567,1570,866
Shorts,White,695,1786,1759
T-Shirts,Dark Blue,1936,1399,1686
Shorts,Purple,1533,1240,1001
Shirts,Blue,1687,1732,1396
Jeans,Gray,1018,1604,1188
Skirts,Brown,1923,1559,1473
Shorts,White,1386,1389,935
Shorts,Brown,1995,1776,683
Jackets,Light Blue,965,1734,985
Dresses,Orange,1485,798,512
Shorts,Yellow,1914,1627,1170
Jackets,Mint,1499,1779,1169
Shorts,Blue,585,1885,1133
Jeans,Dark Green,703,1635,1059
Shirts,Red,909,1624,1739
Skirts,Red,1308,1696,801
Skirts,Dark Blue,763,1369,1275
Shorts,Gray,1504,1793,1257
Shorts,Gray,527,1714,1068
Skirts,Brown,797,655,1416
Dresses,Light Yellow,1984,933,1759
Jackets,Mint,1331,1553,1772
Jeans,Mustard,1240,1446,1271
Shirts,Dark Red,1305,958,875
Jackets,Mustard,1529,1189,814
T-Shirts,Green,1453,1822,1268
T-Shirts,Coral,1837,1829,920
T-Shirts,Red,846,1374,763
Shorts,Dark Green,1567,725,783
Shorts,Brown,794,1752,1743
Jeans,Purple,717,1621,1442
Shorts,Coral,1136,1931,838
Shorts,Black,809,1214,1763
Shorts,Purple,675,842,870
Skirts,Coral,1428,657,1012
Shirts,Gray,1551,752,1517
Jackets,Mint,589,1495,874
Dresses,Brown,527,1522,977
Shorts,White,1842,1149,1296
Jackets,Dark Red,945,1238,643
Skirts,Coral,898,1172,1718
Dresses,Dark Green,1461,1757,549
Skirts,Pink,859,1739,1274
T-Shirts,Red,810,1778,1720
Skirts,Mint,1423,1844,1124
T-Shirts,Light Yellow,1584,1977,1121
T-Shirts,Dark Green,1325,645,1165
Shirts,White,1916,1267,1442
Shirts,Red,521,1879,1988
Jackets,Dark Blue,1653,1378,575
Dresses,Dark Blue,1585,1896,989
Dresses,Brown,773,1552,1336
Jeans,Gray,1655,755,786
Jeans,Mint,1810,1702,1932
Dresses,Mustard,672,1055,872
Shirts,Mustard,1830,1604,1274
T-Shirts,Light Yellow,1611,1852,1706
Shorts,Yellow,1092,1715,811
Jeans,Yellow,1651,1723,980
Shirts,Coral,845,741,1607
T-Shirts,Mint,1539,1894,1881
Shorts,Gray,1036,976,666
Jackets,Red,1511,779,1050
Jeans,Pink,766,1276,1336
Shirts,Purple,829,1833,704
Shorts,Yellow,1441,1800,1989
Shorts,Coral,1341,1129,1202
Dresses,Dark Green,1630,1170,1725
Shirts,Green,1478,595,1560
Jackets,Dark Red,692,658,1012
Jeans,Dark Red,1967,1930,1028
T-Shirts,Coral,1361,1259,1119
Jeans,Blue,1590,1974,1851
Shorts,Yellow,1081,680,939
Shorts,Pink,514,593,805
Skirts,Dark Red,510,534,1958
Jackets,Purple,632,841,710
Dresses,Orange,1970,571,1912
Skirts,Yellow,1530,1635,653
Jeans,Red,1120,1348,1620
Jeans,Dark Green,1675,772,1569
Shorts,Purple,1609,993,841
Shirts,Pink,1272,1559,1878
Shorts,Blue,555,629,1960
Shirts,Light Yellow,604,590,1794
Skirts,Coral,1987,1188,1810
Jackets,Gray,1217,1453,574
Shirts,Mustard,1183,876,827
Shirts,Pink,1510,542,1604
Skirts,Gray,1956,1822,527
Shirts,Purple,1874,1922,1576
Skirts,Dark Green,1628,1644,916
T-Shirts,Coral,983,692,1947
Skirts,Light Yellow,1871,1441,1131
Shirts,Brown,539,987,1964
Jackets,Dark Blue,1949,1824,742
Shorts,Black,1274,1193,1329
Dresses,Dark Red,517,783,1338
Dresses,Dark Blue,1433,1685,1664
Shorts,Coral,630,563,1127
Skirts,Black,877,1739,1912
Jackets,Brown,606,1619,1090
Dresses,Purple,1776,537,1288
Jackets,Red,928,774,1708
Shorts,Coral,1137,1389,1850
Dresses,Dark Blue,1740,1531,1760
Shirts,Brown,1378,1705,529
T-Shirts,Dark Green,1015,639,1647
T-Shirts,Yellow,1606,636,1662
Shirts,Light Yellow,1000,952,1742
Jackets,Brown,841,544,886
T-Shirts,Black,731,1040,970
Shorts,Dark Red,1113,1576,1113
Skirts,Mustard,1711,1236,901
T-Shirts,Light Blue,975,934,546
Shorts,Light Yellow,1803,1890,1237
Dresses,Light Yellow,872,1459,784
Shirts,Green,1346,1630,1702
Jeans,Orange,1605,732,1462
Shorts,Pink,1100,657,541
Dresses,Dark Green,1366,1132,1980
Dresses,Dark Green,1538,1085,1926
Skirts,Mustard,1144,1368,896
Jeans,Coral,1644,1421,1733
Skirts,Black,1042,542,784
Shirts,Dark Blue,592,1909,860
Shorts,Pink,681,1775,749
Jeans,Orange,1238,1327,774
Jackets,Green,1349,605,1091
Shirts,Purple,789,1858,1908
T-Shirts,Brown,1558,1652,1130
Dresses,Light Blue,1458,1283,1440
T-Shirts,Dark Red,1197,619,1985
Shirts,Black,1161,897,1954
Skirts,Light Blue,1093,1626,1249
Shorts,Light Yellow,1548,1961,1727
Jackets,Coral,1876,1279,1167
Dresses,Light Yellow,1470,1249,1247
Shorts,Light Yellow,1458,1860,1403
Dresses,Mustard,1779,1965,1193
Jeans,Coral,1272,1986,1164
Jackets,Mustard,1890,600,511
T-Shirts,Mint,756,690,1294
Jackets,White,1604,1497,1623
Shirts,Mustard,1814,527,1459
Shirts,Gray,837,1718,1155
Shorts,Gray,1623,949,704
Shirts,Light Blue,1645,728,1218
Shirts,Brown,1617,918,1210
Skirts,Orange,1409,953,1798
Shorts,Red,1085,1113,1895
Jackets,Orange,1193,1730,1008
Shirts,Light Yellow,665,1516,515
Skirts,Gray,681,766,1442
Jackets,Purple,1522,616,1480
Skirts,Dark Red,552,1084,1468
Jeans,White,1161,1031,661
Jeans,Yellow,1673,830,809
T-Shirts,Dark Blue,1184,1092,595
Shirts,Dark Red,1898,1489,809
Skirts,Red,1175,943,1533
Jeans,Dark Green,528,1322,608
Shirts,Dark Blue,993,1169,1812
Shorts,Green,1470,1102,1251
Jeans,Coral,588,1234,1628
Jeans,Dark Blue,1934,1216,841
T-Shirts,Red,1656,1977,1150
Skirts,Yellow,565,740,1749
Skirts,Dark Blue,1805,990,893
Jackets,Pink,524,925,1040
Shorts,Light Yellow,1967,1878,1654
Jackets,Light Blue,1954,973,1774
Jeans,Green,1176,1838,734
Shirts,Pink,1350,1984,609
Jackets,Red,798,1119,1485
Shorts,Dark Blue,515,1606,1524
Skirts,Mustard,540,799,1247
Jackets,Coral,500,800,955
T-Shirts,Light Blue,1664,967,518
Skirts,Dark Red,688,873,1191
T-Shirts,Mint,1941,1998,1397
Shirts,Brown,703,1215,504
Jackets,Orange,1649,1585,1306
Shorts,Purple,1435,1265,1177
Jeans,Green,1759,1132,1904
Shirts,Light Blue,1206,1356,1862
Jackets,Pink,911,798,1753
Jackets,White,1224,832,1708
Shirts,Coral,884,1257,1789
T-Shirts,Green,1816,1688,1221
Shirts,Gray,1780,597,604
Jeans,Orange,726,862,1626
Skirts,Black,1860,1439,1352
T-Shirts,Dark Green,1196,956,1281
Jackets,Coral,909,1238,1059
Shorts,White,1697,624,782
T-Shirts,Light Blue,644,1393,1325
Shirts,White,1488,947,773
Shirts,Red,1583,723,1471
Jackets,Orange,1415,544,859
Shirts,Gray,1081,725,1693
Dresses,Green,1183,1535,1934
Jeans,Mustard,563,1838,1068
Shirts,Red,748,1720,1351
Dresses,Dark Green,1482,1325,503
T-Shirts,Mint,1174,1417,1158
Jeans,Yellow,1913,762,546
Dresses,Blue,787,1115,532
T-Shirts,Dark Blue,1067,1549,869
Skirts,Blue,1436,1303,940
Skirts,Mustard,583,776,1974
Jeans,Green,1306,1022,812
Dresses,Dark Green,1324,1993,1491
Dresses,Light Yellow,1075,1041,1520
Shorts,Brown,587,1300,1592
T-Shirts,Dark Blue,1996,982,1848
Shorts,Orange,1512,888,954
Skirts,Black,1435,1766,1653
Skirts,Coral,1085,1096,1014
Shirts,Green,1504,1810,1961
Jackets,Orange,1074,1442,1348
Jackets,Light Blue,1674,514,1091
Jackets,Orange,1315,880,1538
Dresses,Gray,1838,1322,614
Jackets,Pink,1643,985,1787
Jeans,Dark Green,1872,807,1983
Shorts,Brown,1585,1985,1094
Shorts,Dark Red,1921,850,919
Skirts,Brown,1217,624,1131
Jeans,Mint,1558,533,631
Jackets,Yellow,1742,625,1697
Jeans,Yellow,1394,1219,1671
Shirts,Mint,1349,1497,1243
Skirts,Brown,1196,1950,1257
Jeans,Blue,1516,1577,868
Shorts,Coral,1765,932,766
Skirts,Red,973,1458,737
Shirts,White,873,1418,1569
Jackets,Pink,681,1979,1749
T-Shirts,Purple,1443,830,1548
T-Shirts,Green,862,804,1089
T-Shirts,Orange,1624,820,1023
Jeans,Gray,977,1355,1657
Jeans,Dark Blue,1681,768,809
Jeans,Mint,1975,1829,1046
Skirts,Pink,903,838,620
Dresses,Dark Blue,1890,1259,1343
Skirts,Dark Red,1395,1324,1429
T-Shirts,Black,791,525,890
Dresses,Yellow,1431,1811,908
Shorts,Gray,1749,1298,1588
Shirts,Pink,947,780,1955
Dresses,Yellow,509,1130,1366
Shirts,Red,1617,867,1555
Jeans,Green,1334,1404,1871
T-Shirts,Blue,578,803,754
Jeans,Brown,635,501,843
Skirts,Dark Green,1246,1983,1386
Jackets,Orange,737,750,896
Jeans,Light Blue,702,1365,1341
Jeans,Yellow,925,638,577
Dresses,Blue,1666,878,1671
Shirts,Blue,1864,1915,537
T-Shirts,White,1616,1394,843
Jeans,Dark Green,1700,825,1665
Jeans,Red,1123,770,646
Shirts,Gray,1802,1288,1729
Skirts,Yellow,1546,1401,869
Shorts,Light Yellow,1546,675,814
Skirts,Pink,854,1073,1410
Dresses,Pink,1777,919,1539
Shirts,Mint,1168,963,1909
Jeans,Mint,1322,1716,1962
Skirts,Dark Red,935,515,1729
Skirts,Green,1343,698,547
T-Shirts,Purple,929,1130,935
T-Shirts,Dark Green,1309,1642,1047
Jackets,Light Blue,1508,1537,693
Shorts,Dark Blue,1049,1532,635
Dresses,Pink,966,1064,1024
Skirts,Green,1993,1752,786
Skirts,Gray,1872,528,1811
Shirts,Dark Red,1787,1217,1540
T-Shirts,Gray,1193,1509,1721
Shorts,Yellow,916,961,991
T-Shirts,Light Blue,881,849,925
Skirts,White,918,1155,889
Shorts,Purple,870,1122,1300
Dresses,Dark Blue,1881,991,1151
Skirts,Dark Green,657,912,552
Jeans,Black,1466,1669,1392
T-Shirts,Orange,1533,1540,1689
T-Shirts,Gray,635,879,1883
Shirts,Light Blue,1862,1958,657
Shorts,Pink,1888,1400,1723
Dresses,Orange,1997,1631,1584
Shirts,Pink,859,1728,919
T-Shirts,Blue,534,1150,928
Jackets,Black,1635,511,570
Dresses,White,673,1360,1024
Skirts,White,1928,654,1264
Skirts,Light Yellow,1247,1351,1492
Jackets,Mustard,1228,503,1628
Shorts,Mint,643,601,1863
Dresses,Coral,1347,1346,1451
Jeans,Light Blue,1951,713,516
Skirts,Light Blue,555,1026,1113
Shorts,Mustard,1938,1948,598
Shirts,Red,1162,524,1093
Skirts,Brown,1670,1912,557
Skirts,Light Yellow,1267,1725,625
Jeans,Light Yellow,1870,1775,1757
Skirts,Green,1038,904,665
Shirts,Pink,1988,1547,1235
Shirts,Black,1340,1638,807
Jackets,Black,508,1517,823
Shirts,Blue,1360,868,1317
Jackets,Black,1178,1185,1932
T-Shirts,Red,627,1766,957
Skirts,Brown,860,1019,762
Skirts,Mint,1396,1804,559
Dresses,Mint,856,1745,1505
Jeans,White,642,758,919
T-Shirts,Gray,878,1896,1281
Jackets,Dark Red,1327,1510,773
Skirts,Dark Red,982,1821,1426
Shirts,Black,1172,550,1734
T-Shirts,Red,1575,504,1288
Shorts,Dark Blue,731,531,1091
Shorts,Pink,1197,1771,1478
T-Shirts,Light Yellow,1010,1187,761
Jackets,Coral,503,1167,585
Shirts,Red,787,1535,997
Shorts,Dark Green,1781,1595,937
Dresses,Purple,1491,1525,979
Jackets,Coral,1044,673,1221
Shorts,Mustard,880,1323,1142
Skirts,Black,1258,1033,1904
Jeans,Light Blue,1125,1042,1693
Dresses,Red,639,1641,1450
Jeans,White,1470,1116,781
Jackets,White,998,527,775
Jeans,Brown,1829,1680,705
Skirts,Blue,1920,1571,1744
Shorts,Blue,1334,1096,1509
Shorts,Pink,1273,1973,1337
T-Shirts,Black,643,1448,1924
Shirts,Gray,1905,979,1197
Jeans,White,806,577,581
Dresses,Black,770,1505,1751
Skirts,White,1758,825,1827
Skirts,Blue,937,1957,1230
Shorts,Dark Blue,819,1790,1929
Jackets,Green,1160,1278,1914
Shorts,Coral,604,1701,1530
Dresses,Dark Red,754,1964,1838
Jeans,Dark Blue,889,1566,904
Jeans,Black,551,1393,1462
Jeans,Black,1032,924,695
Dresses,Brown,984,807,1332
Jeans,Coral,1746,1509,1521
Shorts,White,551,1272,1430
Dresses,Light Blue,1333,1358,1368
Skirts,Pink,921,1692,1945
Dresses,Brown,1226,1802,893
Shirts,Brown,684,1444,688
T-Shirts,Mint,1418,1203,1154
Shorts,White,793,954,1457
Shorts,Coral,776,1772,560
T-Shirts,Green,1451,762,1282
Shirts,Dark Red,1828,1377,1644
Dresses,Purple,1443,1905,1120
Jackets,Green,1821,539,1236
T-Shirts,Green,1598,1576,1552
Shirts,Mint,728,996,1171
Jackets,Brown,1239,1719,818
Jeans,Yellow,670,1739,1763
Shirts,Gray,514,1510,980
Shorts,Green,786,822,1126
T-Shirts,Yellow,675,1273,1494
Dresses,Dark Green,692,1785,1349
Dresses,Brown,1366,999,772
Dresses,Black,1529,586,1937
T-Shirts,Light Yellow,1191,1418,595
Jeans,Gray,756,1938,1356
Dresses,Coral,567,732,1599
Jackets,Dark Red,1600,921,1696
Skirts,Purple,659,1130,1833
Jeans,Purple,759,1498,1290
Jackets,Black,827,515,1145
Shorts,Light Blue,1360,780,1961
Shirts,Dark Red,1507,857,1533
Skirts,Purple,936,1429,1116
Jeans,White,641,1417,1736
T-Shirts,Orange,1187,1830,1739
Skirts,Dark Green,1537,1082,553
Jeans,Yellow,1454,519,1644
Jeans,White,1970,1789,1335
Jackets,Pink,1666,608,1947
Jeans,Black,1436,712,1970
Jeans,Orange,1712,1663,905
Dresses,Black,650,1807,1255
Skirts,Light Blue,1460,1676,1582
Jackets,Light Yellow,610,1630,1004
Jeans,Pink,655,556,1791
Shirts,White,1399,1219,1304
Jeans,White,1040,1300,638
Shorts,Light Yellow,1540,1648,940
Jackets,Green,1936,1825,1210
Dresses,Pink,553,1891,1135
Skirts,Mint,1102,1371,1322
Skirts,Pink,1629,951,921
Shorts,Mustard,1453,1494,1467
Jeans,Black,1976,1494,1148
Jeans,Dark Blue,1695,700,544
Shirts,Red,691,1977,621
Skirts,Red,936,903,560
Skirts,Yellow,1586,1323,846
Skirts,Pink,1483,1404,1832
T-Shirts,Orange,585,1007,1658
Shorts,Yellow,662,945,1929
Skirts,Coral,1146,559,1389
Shorts,Mint,840,1700,599
Shorts,Gray,938,672,1662
Skirts,Light Blue,1068,1258,1243
Shirts,Red,771,1825,989
Jackets,Green,1906,722,1063
Shirts,Blue,1457,706,1702
Jackets,Red,854,1024,978
Dresses,Dark Green,781,791,712
Shirts,Blue,1408,1213,1950
Skirts,Dark Red,1976,1838,1472
Skirts,Purple,605,1956,1742
Skirts,Gray,1966,1119,1549
Shirts,Dark Green,1153,735,1357
Jeans,Black,1198,1201,1256
Jackets,Black,1183,1985,1578
T-Shirts,Gray,1172,960,1996
Dresses,Dark Red,582,1093,551
Jeans,Purple,1858,1084,718
T-Shirts,Gray,1306,520,1819
Shirts,Mint,1393,709,1894
Jackets,Mint,984,600,1475
Dresses,Yellow,1180,873,1421
Dresses,Dark Red,1486,1790,1514
Shirts,Green,1234,1047,1229
Shorts,Orange,1307,1077,1195
Jackets,Blue,1455,674,1845
Jeans,Gray,1524,1338,837
Shorts,Red,661,770,1233
T-Shirts,Green,680,1354,1812
Skirts,Light Yellow,764,717,1351
Shorts,Dark Red,596,633,905
Jackets,Light Yellow,772,1230,768
Skirts,Red,907,1013,1249
Jackets,Light Yellow,763,1723,1844
T-Shirts,Red,1105,1689,901
Skirts,Yellow,1689,792,1017
Jeans,Mint,1188,1150,1650
Jackets,Coral,1836,758,600
Shorts,Pink,1540,863,894
Shirts,Dark Red,1310,1677,1596
Jackets,Brown,1137,1379,1619
Skirts,Green,1294,1824,523
Shirts,Yellow,788,1746,1718
Jackets,Red,1544,1382,753
Skirts,Dark Red,1201,1083,1142
Skirts,Light Yellow,637,1174,990
Dresses,Yellow,1349,1533,717
Skirts,Light Blue,1642,1537,913
Dresses,White,1543,618,1435
Shorts,Brown,1980,945,1073
Shorts,Light Blue,1714,1415,818
T-Shirts,Coral,781,1646,1604
Skirts,Green,909,735,1352
Jackets,Mustard,1303,767,1675
Shorts,Yellow,1445,1613,989
Skirts,Purple,1368,1659,793
Skirts,Mint,881,854,1496
Shorts,Dark Blue,1923,678,977
Dresses,Blue,1703,1105,582
Skirts,Red,784,1469,1743
Jeans,Black,1238,1661,1895
T-Shirts,Green,1616,1706,1606
Shirts,Mint,1501,1958,500
Shorts,Black,908,1534,1407
Jackets,Dark Blue,1337,577,787
Shirts,Light Yellow,1611,1759,692
Dresses,Light Yellow,846,738,1182
Jackets,Dark Red,776,680,1787
T-Shirts,Coral,1467,1957,968
T-Shirts,Coral,1078,1227,742
Shorts,Pink,516,1629,1014
Shirts,Gray,847,577,1761
Dresses,Pink,1065,1866,551
Jeans,Light Yellow,913,1250,1195
T-Shirts,Dark Blue,699,982,1678
Jackets,Coral,665,855,1762
Shirts,White,538,587,860
Shorts,Brown,1150,1419,1425
Jeans,Dark Green,1046,1380,1990
Jeans,Black,1864,537,669
Jeans,Brown,1282,1810,1037
Shorts,Brown,554,1698,1440
Jackets,Dark Red,1101,1747,1270
Skirts,Orange,1690,1147,834
Shorts,Mint,1967,1299,926
Jeans,Green,1365,1658,1622
Shorts,Dark Red,940,835,1415
Jeans,Pink,775,599,1002
Jackets,Green,1937,941,1311
Shirts,Coral,1753,883,1277
Dresses,Light Blue,1397,1322,1344
Shorts,Mint,1778,772,606
Shorts,Dark Blue,1724,746,1653
Skirts,Brown,1689,1201,910
Shirts,Brown,935,1695,692
Jackets,Dark Red,1370,693,653
Shirts,Black,973,1389,1905
Jeans,Yellow,1561,1591,1208
Skirts,Yellow,1840,1995,540
Dresses,Green,779,1844,1787
Dresses,Black,1133,1846,1965
Shirts,Yellow,1893,1723,1957
Skirts,Light Yellow,939,1509,1151
Shirts,Red,1857,852,1243
Jackets,Dark Green,1894,600,837
Shirts,Dark Blue,660,622,1554
Dresses,Black,784,1082,1565
Dresses,Light Blue,1125,1606,1660
Shirts,Mint,921,1772,838
Dresses,White,1466,1658,1741
Jackets,Gray,1255,1556,1425
Dresses,Yellow,1076,739,621
Jeans,Brown,1010,1319,1719
Jeans,Black,1092,1651,1853
T-Shirts,Dark Blue,829,1538,1212
Jackets,Dark Blue,616,862,529
T-Shirts,Light Yellow,1846,787,1794
Shirts,Brown,1141,1767,1047
Shirts,Mustard,629,1932,1098
Shirts,Gray,1371,552,1654
Shirts,Red,1226,1507,1799
Dresses,Dark Blue,904,1969,1166
T-Shirts,Light Yellow,1650,806,1929
Shorts,Brown,1854,578,1971
Shirts,Yellow,1504,1917,1830
Jeans,Blue,1057,1856,508
Dresses,Green,811,1561,1714
T-Shirts,Black,1099,1621,1873
Jackets,Orange,563,952,1243
Dresses,Yellow,1124,882,1598
Skirts,Light Blue,828,1441,1409
Shirts,Mustard,1387,1314,1669
Jeans,Blue,1412,1543,1133
Jackets,Mustard,790,1564,1603
T-Shirts,Gray,1313,1150,1067
Dresses,Light Blue,1426,767,1736
T-Shirts,Mint,663,939,726
Skirts,Dark Red,1710,1919,1232
Jeans,Brown,1200,741,919
Jackets,Green,682,1781,1790
Shorts,Purple,1401,1336,1394
Dresses,Dark Red,1132,829,699
Jackets,Light Yellow,1616,1378,1571
Skirts,Yellow,1472,614,1089
Jeans,Coral,1048,1615,1641
Shirts,Orange,590,995,1723
T-Shirts,White,1160,1235,1261
Shorts,Light Blue,1739,808,1483
Skirts,Green,1777,802,1165
Jackets,Blue,625,1384,1809
Jackets,White,741,921,1746
T-Shirts,Gray,791,1935,1107
T-Shirts,Light Blue,1063,1290,719
Skirts,Light Yellow,774,1398,1749
Skirts,Pink,1798,553,1929
Dresses,Red,755,1125,821
Jeans,Black,1070,790,757
Shorts,Blue,1301,1414,1901
Jackets,Blue,667,669,1663
Shirts,Mint,1351,1083,995
Jeans,Light Yellow,1351,1158,1087
Jackets,Dark Blue,1410,1255,1374
Shorts,Orange,1727,1850,1676
Jackets,Brown,1609,762,1845
Shorts,Purple,1529,802,1761
Shirts,Dark Green,578,1483,1668
Shirts,Mint,1914,716,953
Shorts,Red,1086,600,1025
Dresses,White,1669,1687,1285
Shorts,Red,609,1398,1945
Jeans,White,1739,1136,1295
Skirts,Mustard,694,1328,1597
T-Shirts,Mustard,1226,1445,805
Jackets,Black,1328,1512,665
Dresses,Coral,1670,1442,1585
Dresses,Blue,708,1161,1957
Dresses,Green,1643,1327,958
Skirts,Gray,1572,1140,1164
Jackets,Pink,822,1821,1625
Shorts,Brown,1340,1330,1913
T-Shirts,Coral,713,1559,558
Shirts,Mint,1111,1939,628
Jackets,Coral,1407,1976,1342
Skirts,Dark Green,1309,828,1953
Jeans,Purple,1703,1764,1446
Jeans,Yellow,1640,1948,1994
Skirts,Black,1610,1210,1802
Dresses,Light Blue,845,1128,813
Skirts,Purple,1228,1776,1972
Jackets,Black,799,1162,1397
Shorts,Gray,1763,841,1463
T-Shirts,Mint,1855,1441,834
Jackets,Light Yellow,1182,1927,882
Shirts,Brown,589,556,806
Shorts,Dark Green,1620,1674,801
Shirts,Pink,1385,1083,1123
Shirts,Mustard,1483,746,1329
Shorts,Black,731,1283,1447
Jackets,Yellow,1670,1215,1796
Shirts,Blue,929,1698,761
Dresses,Dark Green,1943,1061,1937
Jackets,Yellow,1429,504,1096
Shorts,Dark Blue,805,1982,1130
Jackets,Dark Green,1312,1572,731
Jeans,Dark Red,1727,934,1860
Jeans,Green,1969,553,936
Skirts,Purple,1055,519,520
Shirts,Black,790,1050,1837
Jeans,Green,1039,588,1775
T-Shirts,Dark Green,1399,1873,1470
Shorts,Red,1340,1129,1707
Skirts,Light Blue,1461,1661,776
Dresses,Brown,764,1842,959
Jeans,Black,1347,1451,1664
Shirts,Dark Green,1601,1195,1225
Shorts,Red,1519,712,645
Shorts,Dark Blue,1825,1897,561
Shorts,Mint,1576,797,1333
Dresses,Dark Green,1515,1378,1603
T-Shirts,Light Yellow,1244,1090,1936
T-Shirts,Purple,1198,1101,1124
T-Shirts,Coral,1735,1306,1615
Dresses,Green,896,930,1182
Jackets,Mint,1132,504,716
Jeans,Light Blue,902,1862,1379
Jeans,Red,754,1470,1223
Jackets,Dark Green,804,1899,1218
Jackets,Dark Green,1999,602,1131
Shirts,White,1545,932,1080
Jackets,Yellow,644,1941,1765
Dresses,Gray,1720,1362,1450
Jeans,Black,1363,1989,1826
Jackets,White,1751,1785,951
Skirts,Yellow,1411,1145,1354
Shirts,Light Blue,1029,1340,1860
Jeans,Mint,608,1947,1602
Skirts,Dark Blue,959,1171,1893
Shirts,Orange,1929,1706,1079
T-Shirts,Yellow,524,1484,1187
T-Shirts,Gray,834,743,1861
Skirts,Black,1989,1830,1693
T-Shirts,Blue,728,1848,1611
Skirts,Green,1169,1901,1132
